2019-02-16 17:57:29,130 | WARN  | Transport Connection to: tcp://127.0.0.1:51638 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51638@61616
2019-02-17 11:29:28,768 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@589838eb: startup date [Sun Feb 17 11:29:28 EET 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-02-17 11:29:29,695 | INFO  | PListStore:[D:\Programs\apache-activemq-5.13.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-02-17 11:29:29,715 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Programs\apache-activemq-5.13.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2019-02-17 11:29:29,948 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2019-02-17 11:29:29,972 | INFO  | Recovering from the journal @1:181789 | org.apache.activemq.store.kahadb.MessageDatabase | main
2019-02-17 11:29:29,983 | INFO  | Recovery replayed 159 operations from the journal in 0.027 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2019-02-17 11:29:30,132 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:DESKTOP-I77P024-56604-1550395770006-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-02-17 11:29:30,254 | INFO  | Listening for connections at: tcp://DESKTOP-I77P024:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-17 11:29:30,256 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-02-17 11:29:30,261 | INFO  | Listening for connections at: amqp://DESKTOP-I77P024:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-17 11:29:30,264 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2019-02-17 11:29:30,271 | INFO  | Listening for connections at: stomp://DESKTOP-I77P024:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-17 11:29:30,274 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2019-02-17 11:29:30,281 | INFO  | Listening for connections at: mqtt://DESKTOP-I77P024:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-17 11:29:30,283 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2019-02-17 11:29:30,450 | INFO  | Listening for connections at ws://DESKTOP-I77P024:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2019-02-17 11:29:30,451 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2019-02-17 11:29:30,454 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:DESKTOP-I77P024-56604-1550395770006-0:1) started | org.apache.activemq.broker.BrokerService | main
2019-02-17 11:29:30,456 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2019-02-17 11:29:30,955 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2019-02-17 11:29:31,089 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2019-02-17 11:29:31,090 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2019-02-17 11:29:31,163 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2019-02-17 11:29:31,406 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2019-02-17 11:29:31,705 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2019-02-17 12:10:55,010 | WARN  | Transport Connection to: tcp://127.0.0.1:56945 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56945@61616
2019-02-17 12:11:00,213 | WARN  | Transport Connection to: tcp://127.0.0.1:56927 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56927@61616
2019-02-17 12:11:02,157 | WARN  | Transport Connection to: tcp://127.0.0.1:56914 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56914@61616
2019-02-17 12:11:08,527 | WARN  | Transport Connection to: tcp://127.0.0.1:56905 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56905@61616
2019-02-17 13:40:56,552 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:DESKTOP-I77P024-56604-1550395770006-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-30
2019-02-17 13:40:56,554 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2019-02-17 13:40:56,556 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2019-02-17 13:40:56,557 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2019-02-17 13:40:56,559 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-30
